,U239,Np239,Pu239,Pu240,Pu241,Pu242
A_2616,3.67778e-06,0.000532351,0.00534806,0.000275649,1.31559e-05,2.64293e-07
A_2617,2.68449e-06,0.000388486,0.00555298,0.000264348,1.30118e-05,2.7103e-07
A_2618,4.18426e-06,0.000605651,0.00428766,0.000170829,6.6369e-06,1.07788e-07
A_2619,5.09965e-06,0.000738052,0.00378346,0.00012085,4.14367e-06,5.88793e-08
A_2620,3.46037e-06,0.000500831,0.00495719,0.000220603,9.81966e-06,1.83722e-07
A_2621,3.03871e-06,0.000439742,0.00520296,0.000234491,1.08955e-05,2.13177e-07
A_2622,4.68036e-06,0.000677968,0.00409698,0.000138223,5.09565e-06,7.84317e-08
A_2623,3.88437e-06,0.000562695,0.00359716,0.000118799,3.85898e-06,5.18395e-08
A_2624,2.35488e-06,0.000340809,0.0049493,0.000198745,8.43044e-06,1.49343e-07
A_2625,3.03889e-06,0.000440306,0.00438928,0.000159811,6.14226e-06,9.74407e-08
A_2626,4.52855e-06,0.000655463,0.00517737,0.000242064,1.12555e-05,2.21896e-07
A_2627,3.77156e-06,0.000546067,0.00478653,0.000178331,7.54997e-06,1.32705e-07
A_2628,2.20568e-06,0.000319386,0.00382438,0.000124946,4.19074e-06,5.80628e-08
A_2629,2.58238e-06,0.000373792,0.00458088,0.00018066,7.26926e-06,1.22099e-07
A_2630,4.17676e-06,0.00060465,0.0055439,0.000256902,1.2686e-05,2.66014e-07
A_2631,4.82707e-06,0.000698871,0.00476757,0.000216892,9.57303e-06,1.78274e-07
A_2632,3.38714e-06,0.000490536,0.00400741,0.000133398,4.70453e-06,6.84806e-08
A_2633,4.78849e-06,0.000692972,0.00372124,0.000128701,4.3104e-06,5.97364e-08
A_2634,3.15625e-06,0.000456829,0.00491154,0.000208788,9.13899e-06,1.68194e-07
A_2635,2.45033e-06,0.000354566,0.00563765,0.000276255,1.361e-05,2.81448e-07
A_2636,3.96066e-06,0.000573494,0.0043414,0.000156823,6.07007e-06,9.78577e-08
A_2637,4.30178e-06,0.000622909,0.00397432,0.000133351,4.84547e-06,7.34497e-08
A_2638,2.80178e-06,0.000405374,0.00527172,0.000236348,1.08788e-05,2.10904e-07
A_2639,3.53238e-06,0.000511177,0.00562852,0.000271661,1.3697e-05,2.93678e-07
A_2640,5.21038e-06,0.000754149,0.00452977,0.000190378,7.82791e-06,1.34598e-07
A_2641,5.00586e-06,0.000724553,0.00496519,0.000217637,9.94889e-06,1.92608e-07
A_2642,3.52956e-06,0.000511011,0.00414915,0.000150535,5.51325e-06,8.34559e-08
A_2643,2.74752e-06,0.000398407,0.00369389,0.000106896,3.44848e-06,4.6002e-08
A_2644,4.34184e-06,0.000628985,0.00464579,0.000189886,7.89796e-06,1.37177e-07
A_2645,3.91313e-06,0.000566397,0.00544154,0.000255446,1.22096e-05,2.4812e-07
