,4
A_1102,29.7814
A_1103,43.8811
A_1104,35.2452
A_1105,31.3047
A_1106,60.8907
A_1107,42.787
A_1108,23.3729
A_1109,27.0066
A_1110,50.6983
A_1111,61.0408
A_1112,28.4168
A_1113,45.4232
A_1114,35.6791
A_1115,33.1576
A_1116,39.3961
A_1117,36.6254
A_1118,30.8105
A_1119,41.5796
A_1120,57.4576
A_1121,42.4316
A_1122,21.9393
A_1123,30.1737
A_1124,62.6152
A_1125,51.1191
A_1126,25.6884
A_1127,24.8257
A_1128,44.344
A_1129,34.002
A_1130,41.2887
A_1131,48.7764
A_1132,36.8931
A_1133,39.0554
A_1134,50.455
A_1135,34.233
A_1136,29.7453
A_1137,29.0644
A_1138,59.4091
A_1139,50.1009
A_1140,27.6103
A_1141,24.7859
A_1142,48.7753
A_1143,73.9327
A_1144,34.2468
A_1145,47.9698
A_1146,37.7689
A_1147,28.8592
A_1148,32.8109
A_1149,39.4391
A_1150,32.9418
A_1151,35.5386
A_1152,45.9539
A_1153,50.4347
A_1154,26.3906
A_1155,27.7059
A_1156,61.0806
A_1157,60.9197
A_1158,30.7191
A_1159,22.7429
A_1160,42.3551
A_1161,29.4031
A_1162,33.9801
A_1163,51.3437
A_1164,39.0732
A_1165,33.8071
A_1166,41.459
A_1167,36.8029
A_1168,31.7179
A_1169,23.81
A_1170,43.0828
A_1171,49.5918
A_1172,24.4969
A_1173,32.8691
A_1174,67.5794
A_1175,45.9351
A_1176,24.1251
A_1177,32.7881
A_1178,28.726
A_1179,37.926
A_1180,48.8024
A_1181,53.9524
A_1182,39.7947
A_1183,36.3796
A_1184,45.0089
A_1185,64.4806
A_1186,30.148
A_1187,28.4342
A_1188,53.1373
A_1189,40.3427
A_1190,21.5482
A_1191,29.2121
A_1192,57.9801
A_1193,43.5355
A_1194,61.1564
A_1195,39.0508
A_1196,32.3325
A_1197,31.3333
A_1198,36.7673
A_1199,42.0545
A_1200,33.5249
A_1201,54.9179
A_1202,26.7932
A_1203,25.7197
A_1204,46.8492
A_1205,50.3566
A_1206,26.2104
A_1207,35.7826
A_1208,75.239
A_1209,35.4533
A_1210,44.0923
A_1211,30.0908
A_1212,27.0226
A_1213,34.1819
A_1214,41.138
A_1215,48.0065
A_1216,36.975
A_1217,28.9769
A_1218,55.4327
A_1219,68.5435
A_1220,30.8859
A_1221,29.8397
A_1222,60.9646
A_1223,41.699
A_1224,21.8043
A_1225,38.0115
A_1226,31.9598
A_1227,42.4513
A_1228,57.6594
A_1229,40.6199
A_1230,33.0565
A_1231,31.0331
A_1232,35.9889
A_1233,45.7342
A_1234,25.555
A_1235,26.5623
A_1236,53.0554
A_1237,65.1704
A_1238,31.2045
A_1239,22.6918
A_1240,43.9577
A_1241,30.5652
A_1242,35.5195
A_1243,52.5236
A_1244,40.1691
A_1245,38.0882
A_1246,51.1717
A_1247,42.8925
A_1248,34.9507
A_1249,27.0411
A_1250,57.003
A_1251,48.0652
A_1252,25.8943
A_1253,22.4384
A_1254,40.7307
A_1255,57.4147
A_1256,29.9629
A_1257,53.2836
A_1258,39.6708
A_1259,29.54
A_1260,34.4449
A_1261,37.3555
A_1262,31.9234
A_1263,34.1356
A_1264,42.475
A_1265,29.7802
A_1266,26.8143
A_1267,35.1813
A_1268,43.6268
A_1269,47.4435
A_1270,36.6711
A_1271,33.9359
A_1272,40.742
A_1273,25.5068
A_1274,46.4529
A_1275,54.3608
A_1276,26.5371
A_1277,35.4674
A_1278,74.4584
A_1279,49.8927
A_1280,25.9779
A_1281,42.1204
A_1282,57.0156
A_1283,37.6169
A_1284,31.7152
A_1285,30.8099
A_1286,35.6464
A_1287,40.1552
A_1288,32.7861
A_1289,67.7702
A_1290,30.5805
A_1291,28.7308
A_1292,54.9292
A_1293,41.3125
A_1294,21.5983
A_1295,29.5671
A_1296,60.3528
A_1297,52.7302
A_1298,40.3386
A_1299,30.7346
A_1300,35.7476
A_1301,43.1165
A_1302,35.1214
A_1303,38.2831
A_1304,51.424
A_1305,26.7674
A_1306,53.2447
A_1307,45.9102
A_1308,25.7314
A_1309,22.8912
A_1310,44.1632
A_1311,65.3208
A_1312,31.4138
A_1313,29.7233
A_1314,34.6998
A_1315,53.5123
A_1316,39.8551
A_1317,34.3208
A_1318,42.7259
A_1319,37.5698
A_1320,32.0858
A_1321,48.2472
A_1322,26.0805
A_1323,27.2594
A_1324,57.1929
A_1325,57.5766
A_1326,30.1529
A_1327,22.6198
A_1328,40.9208
A_1329,28.643
A_1330,32.4831
A_1331,47.4724
A_1332,37.4849
A_1333,35.2341
A_1334,45.3854
A_1335,39.0413
A_1336,32.6956
A_1337,49.6824
A_1338,27.389
A_1339,28.796
A_1340,58.8116
A_1341,73.1338
A_1342,33.931
A_1343,24.5539
A_1344,48.3073
A_1345,50.7676
A_1346,38.764
A_1347,29.172
A_1348,33.6176
A_1349,36.4689
A_1350,31.4982
A_1351,33.5418
A_1352,41.0103
A_1353,27.4218
A_1354,60.395
A_1355,49.9742
A_1356,26.1588
A_1357,22.5393
A_1358,41.9797
A_1359,60.3365
A_1360,30.4515
A_1361,38.1019
A_1362,49.0268
A_1363,33.0257
A_1364,28.8997
A_1365,36.5451
A_1366,45.2214
A_1367,54.1846
A_1368,39.9821
A_1369,49.7965
A_1370,24.7074
A_1371,23.9902
A_1372,43.2678
A_1373,46.1305
A_1374,24.3192
A_1375,33.0713
A_1376,67.7144
A_1377,39.2989
A_1378,32.5141
A_1379,43.7138
A_1380,61.3523
A_1381,42.3249
A_1382,33.72
A_1383,31.5031
A_1384,36.9953
A_1385,28.6197
A_1386,53.3067
A_1387,64.6399
A_1388,30.365
A_1389,29.4121
A_1390,58.1494
A_1391,40.5438
A_1392,21.7381
A_1393,32.0642
A_1394,38.6892
A_1395,34.6631
A_1396,30.2479
A_1397,31.0821
A_1398,36.4332
A_1399,54.3941
A_1400,41.0164
A_1401,57.7553
A_1402,28.9144
A_1403,21.262
A_1404,40.0515
A_1405,52.905
A_1406,28.1579
A_1407,29.8255
A_1408,64.2829
A_1409,40.6787
A_1410,33.8053
A_1411,36.557
