Energy,Step0,Step1,Step2,Step3,Step4,Step5,Step6
9.375e-07,3399457442.107412,3432109335.169107,3441792656.969856,3429512596.6239233,3406585908.2427382,3415284982.369103,3410719748.4751515
9.625e-07,3282185378.776541,3303935158.2364416,3306230340.047346,3289715920.557574,3322602357.7459307,3303453505.11919,3302787567.33099
9.875e-07,3252997199.8710833,3217539153.8653994,3226342935.191167,3218079443.0143166,3244507540.143523,3186642153.465691,3221790266.1611433
1.005e-06,1276962932.7459185,1260854777.1898282,1269809336.8827353,1241454627.2845213,1284996069.084083,1255946103.6818361,1259912412.395205
1.015e-06,1236307221.3618913,1240353107.5468063,1264992805.7102175,1268163339.708127,1252633167.892739,1233949215.2313457,1256787949.5650327
1.025e-06,1225903514.0292528,1229032165.1474013,1252850958.8674963,1242690172.2374716,1221560259.3980343,1226749548.2004254,1218402290.264053
1.035e-06,1209908442.2485173,1206892874.9057233,1236441246.5771267,1223759110.5854883,1195588685.6582227,1224420860.0857124,1211043468.290041
1.045e-06,1202759034.6733103,1205364149.794446,1209941948.552326,1207152548.7602417,1222607331.39206,1204652140.8385086,1191735460.7202084
1.055e-06,1176226230.3447008,1207814298.260466,1185829974.673904,1193808663.2683792,1195488166.7467964,1206097100.190264,1166065443.7146761
1.065e-06,1163255102.4827113,1197950880.0767446,1175912108.746493,1181482531.7547095,1184221672.0910804,1174802212.432826,1158266851.5031734
1.075e-06,1152034678.9947329,1168025562.487492,1163736755.5999632,1190889426.5490358,1149094500.8355088,1177704696.0002651,1160595539.6178863
1.085e-06,1147946909.9300568,1156541276.857019,1168159587.7027273,1163288608.7865202,1138137939.4900246,1132965403.839538,1160675117.0894322
1.095e-06,1119805803.0186238,1132391608.386812,1126104988.1346822,1166915666.173825,1142858140.039092,1115085602.4695563,1145283158.7772555
1.105e-06,1139825819.544394,1120739791.2372947,1138200763.8096662,1147938533.3541045,1122863253.2411788,1138736864.6706073,1128425299.6734428
1.115e-06,1124425484.656265,1116752541.0840452,1106189678.8083146,1104485045.602041,1119613141.7717233,1115889753.760968,1108292199.372318
1.125e-06,1091007134.894943,1097478039.8180215,1105109100.5104802,1108028337.2298236,1115998649.2483468,1090550611.505548,1108497425.4831471
1.135e-06,1085512101.0702965,1099069589.2489405,1093134785.186803,1092033265.449088,1077102018.8142827,1077784709.7543874,1092435341.094794
1.145e-06,1078915547.507935,1088527668.4130905,1108589567.8186214,1096192235.409358,1077830780.9221246,1107488048.0809064,1076314620.6747754
1.1625e-06,2622383432.461232,2676316016.7295046,2688600265.3634133,2657393331.6534734,2699950525.7786508,2683720909.8712535,2664249559.070353
1.1875e-06,2588818492.620747,2589480242.120971,2649498408.81852,2615887397.8102975,2645234731.658848,2642382507.547122,2571319825.4565907
1.2125e-06,2545218414.78952,2536221972.2168517,2553837911.444339,2574963635.9958,2609889769.428519,2554256740.241949,2536607294.710653
1.2375e-06,2482733346.474046,2490272264.831031,2517236462.821179,2528938539.4264092,2507230642.84627,2494121301.481069,2476195428.9433503
1.275e-06,4807610119.128789,4875586032.980933,4843252449.805422,4845556008.192278,4868214646.142992,4871649042.283397,4869931844.213195
1.325e-06,4569129001.769512,4610174223.935317,4687490019.974169,4682087128.484997,4659260959.015238,4694023749.216889,4657376229.425992
1.375e-06,4452527064.514818,4425931435.866568,4507519285.641045,4433302822.704508,4452945893.312428,4478452567.086893,4443689776.8852415
1.4249999999999997e-06,4267404735.9710875,4313350255.068932,4282440689.8052955,4306523345.667885,4312512597.473711,4265017411.824709,4332113785.201871
1.475e-06,4120458652.3295307,4070994971.33176,4135075777.3661284,4175706359.022299,4119909986.6046615,4144097349.666653,4175618404.9748006
1.545e-06,6999299334.143472,7051275987.926905,7070248932.458649,7068112905.590837,7079169985.847747,7056427582.13751,7088509868.034455
1.635e-06,6575109527.92381,6640488703.23077,6624154380.12397,6588218869.289011,6624154380.12397,6645179585.764005,6655859720.103066
1.725e-06,6196572060.643664,6237030922.492815,6235858201.859507,6232842634.516712,6251941227.68774,6255417506.707905,6302033151.881926
1.815e-06,5887685822.406105,5918176558.872131,5892921182.376233,5931202134.47781,5902093533.043898,5939955656.347864,5931662846.155181
1.9e-06,4961194639.212468,4973801386.020536,4982680556.529874,5015223554.104191,5005255428.721066,5006888861.031747,5037002651.579924
1.97e-06,3563659272.2105107,3614299862.129566,3575440926.287287,3602044931.5114903,3609655050.7640686,3600076436.162722,3598589593.9312057
2.06e-06,6770702576.407797,6897105107.526571,6813632528.1628475,6853588795.454865,6854510218.809608,6849065444.440675,6894089540.183777
2.165e-06,4838812864.550753,4872444816.998856,4877010050.892808,4922662389.832325,4859963718.8300705,4872989294.435749,4873156825.954793
2.255e-06,4621105655.552944,4647491869.80239,4651345094.740404,4710860666.880821,4685689056.144445,4683134200.479023,4695322118.489481
2.34e-06,3921598739.2241836,4003140517.830923,3935059896.779377,3980850449.2221055,3933351075.285127,3918227167.403421,3934297628.3677263
2.425e-06,4275781311.923292,4216307622.6626368,4309580795.89044,4311130462.441598,4262169376.0009594,4343003333.939737,4330480352.8911915
2.52e-06,4519581555.012219,4630445537.739653,4613734268.715004,4590489270.447635,4576416622.847931,4586929225.667948,4582992234.970411
2.62e-06,4366876575.403522,4380195331.167528,4411649373.868058,4390624168.228024,4423376580.201145,4428653823.051034,4444401785.84118
2.72e-06,4206758326.077123,4242275008.1144724,4219574487.2839966,4269163816.9210505,4244787980.9001336,4270587834.8329253,4248138611.281016
2.82e-06,4082521139.8419943,4104312802.1816554,4065994155.4882936,4149630078.0830846,4077336039.327579,4144411471.264861,4105301238.144016
2.92e-06,3898944289.561445,3972892702.067511,3947649890.435541,4017841408.6270432,3969789180.677219,3995534586.866321,4019026694.12428
2.985e-06,1174810589.008778,1160369372.0671768,1150577154.7790492,1169441203.8234148,1180979937.1975772,1184891798.1672568,1180971560.621625
3.025e-06,1889994267.2320907,1917071548.9975934,1930670920.0559983,1925046049.3040926,1889717840.225668,1915178442.832395,1914663283.4113345
3.1e-06,3705043309.419803,3755759288.5224285,3762091979.9422956,3761421853.866119,3732455654.223394,3733825224.3915796,3747701022.456407
3.325e-06,12093346467.957912,12137867969.14388,12147124085.571068,12145700067.659193,12156128904.719688,12206220828.913874,12234659304.27161
3.6150000000000005e-06,7177762284.8052,7142496900.046417,7205614399.846282,7212902020.9247,7184547311.326487,7239372000.933668,7346089578.56476
3.865e-06,7641280115.120465,7697528822.639522,7690115552.921821,7732877973.157826,7740668188.793378,7688105174.693291,7715329046.537957
4.375e-06,18489029738.98549,18648394096.476192,18619871855.358932,18615683567.38283,18686339985.53968,18840720280.338818,18778943032.691307
4.875000000000001e-06,5447748053.3962965,5473338492.930284,5495578302.083387,5501316256.610648,5416587190.8540945,5498677635.185703,5485191347.902654
5.2e-06,8218426198.227391,8200458442.809911,8276852815.494021,8274549257.107164,8302987732.464901,8223535909.558236,8242299439.691175
5.699999999999999e-06,11050630293.427431,11128616215.54246,11188383084.961443,11183692202.428207,11196173300.596992,11207649209.651514,11215439425.287066
6.125e-06,4201606731.866517,4221542982.632765,4247845431.122689,4235783161.7515135,4263844691.1914,4244075971.944196,4229584495.5468817
6.375e-06,4009569539.8742404,4019340815.722488,4086290599.0204864,4068419174.226457,4056499306.646469,4062413169.268726,4033292002.9708853
6.625e-06,3860030905.9754767,3862711410.2801824,3882727238.5179763,3955632767.3179927,3884888395.113645,3901984986.6320953,3924928428.165185
6.875e-06,3764039533.851183,3796607661.153356,3835596433.9228945,3810315927.6991396,3810123266.452239,3834331570.9541116,3816724008.3025765
7.075e-06,2253374320.3267207,2240700560.9110346,2243129767.937174,2263292186.2541313,2255137589.56466,2240059752.850691,2271321134.30432
7.625e-06,13705586041.478813,13770253207.829836,13895357369.676018,13885640541.571459,13779006729.69989,13795885530.243582,13816240609.807442
8.6e-06,12941809846.15676,13060715341.79831,13085551889.496597,13188081179.151587,13067919197.117205,13141381768.218042,13138910678.312143
9.55e-06,10656512394.876184,10740110622.87919,10724320777.209284,10809845617.681297,10719797426.195093,10773491278.048727,10770140647.667845
1.075e-05,15785322318.892275,15919263768.368034,15931493569.258253,15970989124.8729,15984224114.877384,15875914987.815372,15956455765.595823
1.17e-05,3853861557.7866774,3850259630.127229,3877663598.354868,3813993244.5421576,3900045809.29916,3892096438.7205176,3879615340.551732
1.24e-05,9066010035.951256,9048293577.812342,9162885136.838507,9181104189.534554,9154759858.164867,9183868459.598782,9154299146.487497
1.3325e-05,7214954282.03299,7168883114.295863,7285652583.069601,7244146649.226425,7230869776.34218,7194096607.912,7237277856.945617
1.4075e-05,5089481899.920488,5076875153.112419,5091743575.427584,5147196508.231181,5143803994.970538,5165248029.408182,5129019338.414896
1.4749999999999998e-05,5385216913.913087,5370474140.2372055,5406409651.0721655,5432418919.403762,5348569394.1221895,5369259536.724135,5408755092.338782
1.555e-05,6510274830.053743,6549979800.067195,6612343408.031361,6581308194.128442,6631567649.841672,6607610642.618365,6590187364.637779
1.65e-05,6805423483.729687,6860625119.254718,6845254102.3824215,6902340467.496699,6913230016.234566,6896518747.209916,6931072123.012762
1.775e-05,9594655744.294914,9617481913.764673,9586153519.703426,9645417794.565277,9592561600.306864,9621837733.25982,9620078652.309856
1.875e-05,2955063334.691031,2972021712.70627,3023981613.3377976,3030842029.0426536,3019177647.029208,3037174720.4625206,3012819825.8814845
1.9500000000000003e-05,5568412629.98781,5612557185.255931,5609415969.273854,5636556075.358998,5605604627.215601,5630106111.8758,5657832578.277598
2.05e-05,5198167972.900349,5186189469.288695,5225475610.504537,5240176501.300656,5237412231.236429,5210104593.63224,5227444105.853305
2.1749999999999997e-05,7554247490.977055,7566686706.266079,7604171883.652197,7623312359.702985,7629469143.027856,7571126291.520748,7661635194.684323
2.375e-05,11935531777.01837,11989686340.549376,12056447650.888449,12061724893.738338,12014020293.69053,12105450620.208849,12015653726.001211
2.6249999999999998e-05,10873381946.278772,10961880471.21382,10880878981.755997,10918950519.458767,10975785587.29448,10885151035.491621,10961377876.656687
2.875e-05,9925153548.489164,9903751396.93128,10007746587.377905,10023201370.009724,10023159487.129963,10094067202.565378,10009756965.606436
3.0625e-05,4681375119.529059,4663784310.0294285,4733226124.673208,4729289133.975672,4731048214.925635,4687699434.372974,4754293213.193005
3.15e-05,1842264537.4564266,1833389555.2350652,1834792631.7070596,1831517390.5097475,1827379361.9893582,1810797929.8919683,1836321356.818337
3.25e-05,5295461902.58521,5252406302.190876,5325617576.013147,5297388515.054216,5309241370.026587,5381782517.772682,5341533070.322337
3.35e-05,1696055592.498664,1680068897.2938807,1667453773.90986,1725888767.7524421,1719484875.4369814,1694099662.0138242,1694459854.779769
3.4175e-05,2783410540.2784457,2819940788.006012,2833816586.0708394,2835751575.115799,2828174962.1670294,2855398834.0116954,2810223959.901454
3.505e-05,2857895053.6454525,2852408396.3967586,2878610325.9752555,2896557139.952855,2875473298.281155,2896971780.462489,2870803357.1878004
3.625e-05,4550909949.073466,4585086378.958463,4556145309.043594,4586384748.231054,4602760954.217615,4575160136.4551,4632749096.12651
3.75e-05,2935629678.4819155,2947411332.5586915,2955863297.6944666,2981273640.8454804,2957270562.454437,2928421634.875043,2992711855.3082166
3.855e-05,3217480517.8337336,3257524739.1732497,3243741083.4438963,3267597571.7557764,3264024962.112161,3290917959.206715,3278441049.325906
3.935e-05,1447233592.12639,1461838152.2990594,1472204165.0399132,1489170919.6311045,1486750089.180917,1495872180.3928683,1459287484.921613
4.03e-05,4018628806.7665505,4047532182.089634,4095039932.6025643,4061064540.540421,4090093564.5027876,4089067433.9486423,4077491005.982695
4.17e-05,3906210969.1999826,3891698551.3627877,3930549110.6291146,3922733765.2657075,3940031394.607011,3924702260.6144753,3952097852.266162
4.32e-05,4387776132.404273,4333956631.911356,4343380279.857587,4396487771.394567,4383085249.871038,4321684948.141376,4398163086.585008
4.46e-05,3149563240.0132556,3166387592.813259,3184145933.831934,3202101124.385485,3152302380.3496265,3186261019.2598658,3213430443.3608427
4.61e-05,4584918847.439419,4584835081.679896,4617545610.773257,4620226115.077963,4601462584.945024,4593462954.910667,4638403284.894248
4.765e-05,3223415321.895871,3184958461.699298,3225375440.668687,3216169583.6972136,3186713354.3612847,3201807944.227158,3223151459.7533765
4.875e-05,2152214600.8399167,2161776462.2893586,2168435840.171362,2175103594.629317,2204832062.6836925,2196216754.3168497,2165956373.689509
4.99e-05,3282528818.390582,3292555579.8053713,3290591272.7445793,3283224074.194615,3312898094.505301,3323724818.9235263,3331695130.942049
5.13e-05,3204521954.8356724,3221061504.0533013,3205502014.2220807,3221262541.8761544,3241353759.2975183,3243741083.4438963,3191978032.3472457
5.27e-05,3099358232.0437145,3153860423.4767365,3155870801.705266,3138472653.452536,3123997930.2071257,3179262390.0517983,3167518430.566807
5.62e-05,11672632940.758415,11696506182.222198,11696338650.703156,11829568091.222977,11715939838.431314,11818469128.086304,11874131475.288706
6e-05,3935198110.2825885,3898973607.5772777,3966974651.157278,3915169717.1808662,3937246183.1029024,3931428651.104096,3973587957.871544
6.3e-05,7381103666.044977,7407866826.212272,7437519905.083077,7437478022.203317,7427468013.940432,7462691515.819454,7467549929.871733
6.625e-05,4231511108.0158887,4231259810.737323,4256012592.6760883,4268786871.003201,4226527045.324327,4299905850.665643,4241353584.75973
6.975e-05,7581136299.783633,7600486190.233227,7672399094.782907,7651457654.902394,7627374999.039804,7627123701.761238,7686974336.939743
7.4e-05,6415368224.51526,6441754438.764706,6440414186.612353,6456120266.5227375,6437901213.826692,6500097290.271813,6452267041.584723
7.800000000000001e-05,6012789984.252287,6000350768.963263,6031218451.347137,6037459000.43153,6035322973.563718,6065604295.6309395,6075069826.456931
8.1e-05,2819949164.581964,2788059539.9319196,2804783373.8204966,2807329852.909967,2803246272.133267,2818994234.923413,2833808209.4948874
8.6e-05,10999575062.998741,11015490557.30793,11065624364.381878,11055237410.201143,11053687743.649986,11129118810.099592,11101099163.539467
9.5e-05,12498228266.607742,12577009963.43823,12531985867.695127,12587522566.258247,12546058515.294832,12555230865.962498,12651058894.855722
0.000104,9026137534.41876,9099390691.120792,9084480385.925869,9087747250.547228,9111285428.972923,9144163489.58533,9158780614.621927
0.00011149999999999999,7400662970.893375,7454231174.107727,7545870915.02485,7548844599.487883,7484596261.93447,7579251570.1943865,7576906128.92777
0.000117,3957986585.160562,3981277654.5956683,4012367316.242277,3990617536.782377,4037706458.4976974,4014809088.1323447,4050845117.878731
0.00012050000000000002,2953827789.7380805,3004514450.8248734,2986835687.277745,2990362225.753623,2976264448.4260616,2996255146.935999,3015596660.8096404
