,B10_MT107,B10_MT107,Ti47_MT102,Ti47_MT102,Ti48_MT102,Ti48_MT102,Ti49_MT102,Ti49_MT102
,sigma,rsd,sigma,rsd,sigma,rsd,sigma,rsd
Incident energy ,,,,,,,,
305.0,29.63,0.7707,0.01403,3.137,0.05494,3.4450000000000003,0.006576,8.647
550.0,24.52,0.7714000000000001,0.01246,3.315,0.04317,3.724,0.005024,10.45
670.0,23.26,0.7714000000000001,0.01216,3.372,0.04039,3.808,0.004724,10.98
683.0,21.21,0.7691,0.01185,3.485,0.03578,3.994,0.004364,11.85
950.0,18.63,0.7701,0.01192,3.65,0.03019,4.289,0.004084,13.05
1150.0,16.59,0.7701,0.01305,3.816,0.02607,4.578,0.00415,14.06
1500.0,15.4,0.7686000000000001,0.01453,3.927,0.02379,4.786,0.004357,14.65
1550.0,14.7,0.7686000000000001,0.01642,4.01,0.02254,4.9110000000000005,0.004642,15.03
1800.0,13.44,0.7686000000000001,0.02411,4.188,0.02043,5.165,0.005649,15.73
2200.0,12.65,0.7686000000000001,0.0356,4.285,0.01924,5.332,0.006843,16.16
2290.0,12.15,0.7655000000000001,0.05795,4.382,0.01849,5.457,0.008377,16.49
2580.0,11.34,0.7681,0.4353,4.759,0.01746,5.649,0.01396,17.080000000000002
3000.0,10.31,0.7653,1.038,4.437,0.0164,5.899,0.1093,19.87
3740.0,9.665,0.7686000000000001,0.03462,4.369,0.01595,6.04,0.6438,17.7
3900.0,8.512,0.7649,0.1152,3.844,0.01572,6.325,0.0467,17.630000000000003
6000.0,7.103,0.7702,0.01839,5.883,0.02496,6.389,0.02268,1.368
8030.0,6.331,0.7795,0.2932,5.938000000000001,0.02024,6.7780000000000005,0.06478,0.978
9500.0,5.595,0.7878,0.2354,6.805,0.08881,6.585000000000001,0.001321,3.382
13000.0,4.843,0.8017,0.04838,9.393,0.07177,6.251,0.01711,0.7557999999999999
17000.0,4.096,0.8448000000000001,0.06293,7.804,0.07132,5.072,0.02625,12.71
25000.0,3.572,0.8947999999999999,0.03614,11.14,0.01136,5.944,0.02035,1.192
30000.0,3.087,0.914,0.02817,8.587,0.03348,4.382,0.02649,10.77
45000.0,2.749,0.9489,0.02828,10.87,0.007025,4.835,0.005985,0.8621
50000.0,2.657,0.9487,0.02782,12.01,0.02519,6.21,0.02506,5.492
52000.0,2.549,0.9549,0.007456,11.5,0.01038,14.79,0.007448,3.748
60000.0,2.361,0.9734,0.01388,9.264,0.002058,18.61,0.009795,6.494
73000.0,2.251,0.9864,0.03457,11.04,0.01231,9.264,0.00145,1.7659999999999998
75000.0,2.195,1.017,0.04134,12.89,0.0154,9.16,0.007764,0.9346
82000.0,2.138,1.017,0.03962,12.89,0.01031,6.648999999999999,0.0002363,6.4350000000000005
85000.0,2.049,1.072,0.0369,12.89,0.008385,5.995,0.0009027,23.99
100000.0,1.885,1.17,0.03198,12.89,0.005277,4.858,0.0005084,22.4
128300.0,1.736,1.291,0.02796,12.89,0.003885,4.954,0.001202,15.49
150000.0,1.565,1.237,0.02269,13.5,0.004466,13.68,0.001558,12.36
200000.0,1.294,1.031,0.01728,13.61,0.004767,3.634,0.002969,8.234
270000.0,1.031,1.258,0.01422,13.57,0.003807,3.719,0.005697,13.12
330000.0,0.8853,1.336,0.01229,13.56,0.003708,4.885,0.005147,13.12
400000.0,0.8553,1.429,0.01128,13.34,0.004041,5.354,0.004857,12.02
420000.0,0.8581,1.402,0.01092,13.34,0.003949,5.354,0.004754,12.02
440000.0,0.8579,1.348,0.0105,13.34,0.003845,5.354,0.004633,12.02
470000.0,0.8321,1.303,0.01006,13.34,0.003736,5.354,0.00451,12.02
499500.0,0.7397,1.232,0.009555,13.22,0.00361,5.401,0.004368,11.42
550000.0,0.6334,1.315,0.009148,13.22,0.003511,5.402,0.004256,11.42
573000.0,0.5667,1.358,0.008905,13.22,0.003453,5.402,0.00419,11.42
600000.0,0.4675,1.371,0.008496,13.18,0.003357,5.383,0.004083,11.1
670000.0,0.4055,1.415,0.008204,13.18,0.00329,5.383,0.004008,11.1
679000.0,0.3618,1.423,0.007949,13.170000000000002,0.003233,5.362,0.003946,10.98
750000.0,0.3057,1.485,0.007565,13.18,0.003153,5.35,0.003857,10.91
820000.0,0.2748,1.548,0.007315,13.19,0.003106,5.34,0.003803,10.85
861100.0,0.2624,1.566,0.007207,13.19,0.003087,5.34,0.003782,10.85
875000.0,0.2545,1.662,0.007134,13.19,0.003075,5.34,0.003768,10.85
900000.0,0.2462,1.667,0.007056,13.19,0.003062,5.34,0.003753,10.85
920000.0,0.2298,2.161,0.006887,13.19,0.003027,5.339,0.003725,10.84
1010000.0,0.218,0.5081,0.00666,13.26,0.00224,5.345,0.003695,10.79
1100000.0,0.2175,0.0,0.006471,13.26,0.001643,5.345,0.00368,10.79
1200000.0,0.2238,0.0,0.006205,13.26,0.001536,5.345,0.003679,10.79
1250000.0,0.2355,0.0,0.005808,13.26,0.001488,5.345,0.003685,10.79
1317000.0,0.2505,0.0,0.005489,13.26,0.001456,5.345,0.003694,10.79
1356000.0,0.2643,0.0,0.005265,13.26,0.001435,5.345,0.003702,10.79
1400000.0,0.2993,0.0,0.005008,13.26,0.001408,5.345,0.003244,10.79
1500000.0,0.4641,0.0,0.004201,13.95,0.001362,6.267,0.002225,11.31
1850000.0,0.4313,0.0,0.002736,13.95,0.001326,6.732,0.001361,11.64
2354000.0,0.2909,0.0,0.002199,14.81,0.001299,7.550999999999999,0.001178,11.89
2479000.0,0.2944,0.0,0.001694,14.81,0.001214,7.550999999999999,0.0009836,11.89
3000000.0,0.2502,0.0,0.001025,21.26,0.0008406,16.55,0.0006768,17.4
4304000.0,0.2353,0.0,0.0007564,22.12,0.0005333,26.82,0.0005155,18.95
4800000.0,0.1372,0.0,0.0006655,20.54,0.0004471,25.58,0.0004679,17.57
6434000.0,0.09929,0.0,0.000644,17.599999999999998,0.000464,24.19,0.0004777,15.04
8187000.0,0.06053,0.0,0.000674,17.51,0.0005283,21.04,0.0004932,15.93
10000000.0,0.04368,0.0,0.0006994,17.77,0.0006708,19.33,0.0004942,17.41
12840000.0,0.04282,0.0,0.0007214,18.15,0.000835,20.66,0.0004945,17.740000000000002
13840000.0,0.04456,0.0,0.000751,17.24,0.0009044,18.83,0.0005011,18.2
14550000.0,0.04407,0.0,0.0007931,17.71,0.0009666,18.6,0.0005119,18.59
15680000.0,0.04016,0.0,0.0008633,19.4,0.001012,19.6,0.000512,19.88
17330000.0,0.03384,0.0,0.000934,21.6,0.000916,27.06,0.0004284,22.35
